Year,BotMean,BotMin,BotMax,SSTMean,SSTMin,SSTMax
1970,4.691798,1.18,11.79,16.282398,14.1,20.7
1971,5.343852,1.5,10.51,14.546557,10.9,16.7
1972,5.124769,-0.34,11.34,14.183458,6.75,17.6
1973,4.878242,0.48,11.11,15.998523,13.6,19.3
1974,5.163024,0.57,11.06,13.472603,10.9,17.3
1975,4.640714,0.31,10.81,16.050832,11.6,18.5
1976,5.450334,1,10.03,16.398053,13,18.2
1977,6.375222,1.05,10.94,15.190409,12.5,18.1
1978,5.77004,1.27,9.56,12.173312,2.6,18.1
1979,5.641434,-0.91,13.64,9.879181,-1,17.9
1980,5.529007,0.1,15.45,9.902705,-1,16.5
1981,6.236894,-0.67,14.77,10.012464,-1.12,17.7
1982,4.447996,-0.48,15.42,11.318225,-1.48,18.2
1983,5.018072,0.65,16.7,11.877922,-0.8,18.5
1984,6.965637,-0.12,13.64,10.65313,-1,19.79
1985,5.241097,-0.3,11.89,12.721752,0.1,18.1
1986,5.477062,-0.06,11.29,9.180889,-0.8,16.8
1987,3.595203,-0.57,14.36,9.631391,-0.5,19.4
1988,4.688267,0.08,10.98,10.300524,-0.4,17.8
1989,3.901363,-1.53,10.46,7.697701,-0.9,17.29
1990,3.847277,-1.3,12.06,9.306648,-1.4,19.06
1991,4.081562,-0.74,13.56,9.53463,-1.32,17
1992,3.978436,-0.98,9.68,8.902706,-1.63,14
1993,4.844125,-0.59,10.71,10.256252,-1.42,16.1
1994,5.478327,-1.36,11.6,10.390833,-1.68,20.8
1995,4.510974,-0.59,11.86,7.490496,-1.5,17.79
1996,4.613308,0.53,11.62,10.789552,-0.59,17
1997,4.862198,0.06,10.45,8.816377,-1.41,17.01
1998,4.364956,0.39,8.21,16.28533,13.19,19.1
1999,5.081253,-0.15,11.47,11.495923,-1.14,19.98
2000,5.304289,1.22,12.96,9.264695,-1.03,18.15
2001,4.074378,-0.16,11.85,9.443305,-1.54,18.1
2002,4.429032,0.52,12.02,7.807477,-0.62,17.44
2003,3.844613,-1.44,10.57,9.771993,-1.67,19.1
2004,3.330437,0.82,9.68,15.329289,10.59,19.94
2005,6.082058,1.95,8.87,11.647984,9.5,12.51
2006,5.205538,1.37,13.19,16.952887,14.67,19.29
2007,3.388505,-0.7,10.31,9.257931,-1.5,19.89
2008,3.330932,-0.39,9.59,10.696921,-1.31,20.53
2009,4.291272,0.62,10.91,12.745903,-0.89,19.27
2010,4.278175,0.36,11.66,11.441228,0.49,20.1
2011,4.760705,2.06,11.07,14.578333,12.29,18.75
2012,5.724966,1.87,13.9,17.702617,14.54,20.14
2013,4.777434,1.46,11.11,17.612195,14.05,19.71
2014,5.492966,0.98,11.79,20.195513,11.57,23.04
2015,5.934097,0.34,11.23,16.678802,11.18,20.02
2016,5.902362,1.4,12.7,17.509023,13.1,21
2017,4.728928,0.98,11.93,16.919367,6.1,19.96
