,AMERICAN PLAICE,COD(ATLANTIC),HADDOCK,HERRING(ATLANTIC),REDFISH (UNSEPARATED),SPINY DOGFISH,"TURBOT,GREENLAND HALIBUT",WITCH FLOUNDER,YELLOWTAIL FLOUNDER
1970,10000000,496443365.7,155040650.4,1720969697,161668421.1,,,,
1971,,482557632.4,200477707,1218466667,290467005.1,,,,
1972,16800000,405754137.1,84250000,1085375000,270403141.4,,,,
1973,,347255765.2,90891304.35,1207125000,192751196.2,,,,
1974,155376146.8,357697561,30102941.18,1295580645,197034042.6,,,56440476.19,
1975,59589285.71,308386842.1,51684931.51,2018050000,232824390.2,,,35184615.38,26700000
1976,63320000,285858356.9,70915254.24,1874454545,167666666.7,,,23000000,
1977,177669421.5,138708333.3,71778947.37,2440875000,210880952.4,,54000000,33977272.73,
1978,112392405.1,166211009.2,72644578.31,4672166667,226212290.5,,119550000,72509615.38,44130434.78
1979,113330708.7,239446555.8,55573529.41,1374333333,178329896.9,,158333333.3,70229729.73,116872340.4
1980,95702898.55,309724137.9,145345360.8,3978750000,198759358.3,,20450000,60592592.59,119613636.4
1981,122780000,337114822.5,210051282.1,5948750000,270115606.9,,13333333.33,38085714.29,124821428.6
1982,82094594.59,395974238.9,157973545,2881500000,193357142.9,,,25306122.45,151595238.1
1983,106792682.9,357629453.7,140529411.8,2852200000,144430555.6,,,62720930.23,154593750
1984,101684210.5,378767726.2,85111111.11,1412250000,77025906.74,,,61538461.54,92943396.23
1985,38287500,290289640.6,85028985.51,2317800000,110881188.1,,,45365079.37,15054054.05
1986,14518987.34,258210309.3,101636363.6,2686200000,79837944.66,,,31676767.68,9740740.741
1987,35173469.39,172712643.7,14950980.39,2706250000,133836120.4,,,46136363.64,12777777.78
1988,33553191.49,148625000,25017094.02,1512000000,127007874,,,36690909.09,
1989,34156250,149360554.7,63816753.93,2453000000,115153225.8,,1000000,55166666.67,63416666.67
1990,25357142.86,138270801.8,58800000,2647750000,101760162.6,,,22352941.18,74197183.1
1991,19000000,155126245.8,74971631.21,1417500000,160626556,,,35988505.75,92019607.84
1992,74880000,176729629.6,104924812,1639800000,188157894.7,2000000,,51774193.55,112238095.2
1993,27454545.45,55893835.62,35298850.57,1020500000,184459893,2333333.333,,75875000,96035714.29
1994,26270270.27,8157894.737,2928571.429,588888888.9,195379807.7,6000000,,44457142.86,124950000
1995,30032786.89,5639344.262,3375000,308115384.6,169716216.2,2500000,,31576923.08,77885714.29
1996,54552238.81,18473684.21,9096774.194,513871794.9,107537037,,,39018867.92,85619047.62
1997,65144927.54,8958333.333,5615384.615,840937500,131706521.7,9000000,,19660000,37714285.71
1998,89492063.49,14789473.68,7789473.684,356185185.2,115746031.7,10000000,,76416666.67,25833333.33
1999,103969230.8,14433333.33,4000000,507296296.3,149682352.9,10312500,,29387096.77,22000000
2000,78650000,15277777.78,2833333.333,200625000,128263157.9,3571428.571,3500000,32548387.1,
2001,46461538.46,36018518.52,16277777.78,261529411.8,155039473.7,21166666.67,,28322580.65,9600000
2002,34314285.71,11230769.23,6250000,737411764.7,112926829.3,17625000,2600000,74352941.18,90666666.67
2003,,,,,93619047.62,,,,
2004,0,500000,,453818181.8,4333333.333,,,400000,
2005,,878787.8788,,489588235.3,7750000,,,4846153.846,
2006,,0,,357375000,52228571.43,,,1800000,
2007,,1200000,,357388888.9,17131578.95,,,1250000,
2008,,,,,41521739.13,,,2416666.667,
2009,,,,,242583333.3,,,,
2010,,,,729000000,142080000,,,,4500000
2011,,1000000,,861142857.1,61894736.84,,,,
2012,,0,,102722222.2,12142857.14,,1285714.286,789473.6842,
2013,,0,,,40200000,,111111.1111,0,
2014,,,,,,,,666666.6667,
2015,,,,201562500,,,,411764.7059,
2016,,2550000,,177000000,0,,125000,2200000,
2017,,,,,,,,,
