species,w,sum,pro
AMERICAN PLAICE,1039.1982,21890.3204,0.047472955
COD(ATLANTIC),1394.3854,21890.3204,0.06369872
HADDOCK,6033.8208,21890.3204,0.275638761
HALIBUT(ATLANTIC),325.2789,21890.3204,0.014859486
HERRING(ATLANTIC),2246.7424,21890.3204,0.102636341
NORTHERN SAND LANCE,626.8851,21890.3204,0.028637548
REDFISH UNSEPARATED,6639.2787,21890.3204,0.303297466
SILVER HAKE,1266.9675,21890.3204,0.057877979
SPINY DOGFISH,422.4551,21890.3204,0.019298717
"TURBOT,GREENLAND HALIBUT",482.3665,21890.3204,0.022035607
WHITE HAKE,373.1092,21890.3204,0.017044483
WITCH FLOUNDER,386.7751,21890.3204,0.017668773
YELLOWTAIL FLOUNDER,653.0575,21890.3204,0.029833163
