"","x"
"1",22.7118922429542
"2",20.4969399513095
"3",21.6929426867283
"4",23.8784982181843
"5",22.2278230073402
"6",21.0787722556073
"7",23.4832134608111
"8",22.2953048195254
"9",23.8653420464025
"10",1.36665631030945
"11",0.786282162247353
"12",0.474172516771791
"13",0.721692205365416
"14",1.12655498310185
"15",0.933197130565998
"16",1.01264380934623
"17",0.439066664966253
"18",1.29239488332327
"19",6.95752234445732
"20",6.73330473837749
"21",7.03812530007263
"22",7.06858133760454
"23",6.84377403583575
"24",6.94537589684746
"25",6.94134930536857
"26",6.99173033458695
"27",7.20484706296454
"28",-0.0716022997746238
"29",0.358021055245797
"30",0.622179500445533
"31",0.217923765101103
"32",0.636822088891146
"33",-0.559526007403642
"34",0.681758175505579
"35",0.54049810740963
"36",0.268377930980577
"37",-3.17787414179138
