"","year","surfacetemp"
"1",1970,8.0985597592274
"2",1971,7.40418598795525
"3",1972,7.38529036780342
"4",1973,8.52843789020792
"5",1974,7.68571440522105
"6",1975,8.43788631669938
"7",1976,8.45122315783579
"8",1977,9.84830450959122
"9",1978,8.86052178882827
"10",1979,8.72453650631584
"11",1980,8.15362402424515
"12",1981,9.11240306506172
"13",1982,8.4711917029837
"14",1983,7.72018493329867
"15",1984,8.15144955388342
"16",1985,9.01724849531475
"17",1986,9.46303164710601
"18",1987,8.84198221516533
"19",1988,11.0713132894956
"20",1989,9.11938590245942
"21",1990,7.86249295827479
"22",1991,8.27819936712965
"23",1992,8.20624232796045
"24",1993,7.04854362841863
"25",1994,8.82157650103984
"26",1995,9.3766938128437
"27",1996,9.95424823796687
"28",1997,9.86725133496564
"29",1998,8.06768949320301
"30",1999,9.09721675037574
"31",2000,7.87458281242886
"32",2001,8.15802796419041
"33",2002,9.01070096436888
"34",2003,8.69135968488468
"35",2004,9.53237328611505
"36",2005,8.48012401817892
"37",2006,9.90123145626142
"38",2007,9.81077124866155
"39",2008,9.73177886185929
"40",2009,10.2834173733225
"41",2010,9.87718442614632
"42",2011,9.24794164056388
"43",2012,10.3554966380963
"44",2013,9.8553364703384
"45",2014,10.300276489594
"46",2015,10.6002790838098
"47",2016,11.4114361848587
"48",2017,9.0698994892912
"49",2018,7.79053947224449
"50",2019,8.94284950521512
"51",2020,9.52039345315634
"52",2021,9.97111770343513
"53",2022,9.53459035743697
"54",2023,9.88031847130221
"55",2024,10.2436992677932
"56",2025,9.86788887642802
"57",2026,10.0663203117915
"58",2027,8.63389037518004
"59",2028,9.83238244453111
"60",2029,10.2080804021695
"61",2030,9.86169007277259
"62",2031,9.8851886647634
"63",2032,10.0185886488702
"64",2033,10.541787723748
"65",2034,9.12234108952376
"66",2035,8.98423399570852
"67",2036,9.65399430391307
"68",2037,8.82246519823391
"69",2038,10.7540954510944
"70",2039,10.6020635841176
"71",2040,11.5001403162113
"72",2041,11.3839700365296
"73",2042,12.0617757341705
"74",2043,12.8199826968022
"75",2044,12.0330583170438
"76",2045,11.947210865143
"77",2046,11.868316392868
"78",2047,11.8032203124215
"79",2048,11.4130977101815
"80",2049,11.0864444846908
"81",2050,11.0663857223132
"82",2051,12.0654573226586
"83",2052,12.3473564890715
"84",2053,12.6936613451212
"85",2054,12.173566029622
"86",2055,11.6613316085094
"87",2056,11.5291273311163
"88",2057,12.1741726643
"89",2058,12.5272011386278
"90",2059,11.6416620703844
"91",2060,13.2822651374034
"92",2061,11.9582984913618
"93",2062,11.7749404509862
"94",2063,11.4182100746876
"95",2064,10.5057570017301
"96",2065,11.1778772647182
"97",2066,12.2122474511464
"98",2067,12.1295878319786
"99",2068,13.1459761231374
"100",2069,12.3068209779568
"101",2070,14.6263938469765
"102",2071,14.678916646884
"103",2072,13.956893216341
"104",2073,13.6561634403009
"105",2074,14.3432607497924
"106",2075,13.5253875805781
"107",2076,13.7021821569174
"108",2077,13.6653413421068
"109",2078,13.7780660299154
"110",2079,13.1498444554133
"111",2080,14.2555531263351
"112",2081,15.009952205878
"113",2082,13.5096635314134
"114",2083,13.6612546291107
"115",2084,14.1461373628714
"116",2085,15.2463284623929
"117",2086,14.2023219756591
"118",2087,14.6955897777508
"119",2088,15.615721539045
"120",2089,15.4509308567414
"121",2090,15.6271126300861
"122",2091,15.779259339357
"123",2092,16.0565259884565
"124",2093,15.2484791401105
"125",2094,15.6906499770971
"126",2095,15.6552299627891
"127",2096,15.4555649573986
"128",2097,15.2443146583362
"129",2098,15.8063847774114
"130",2099,16.731341227507
"131",2100,15.6429964166421
