,AMERICAN PLAICE,COD(ATLANTIC),HADDOCK,HERRING(ATLANTIC) ,REDFISH (UNSEPARATED) ,SPINY DOGFISH,"TURBOT,GREENLAND HALIBUT",WITCH FLOUNDER,YELLOWTAIL FLOUNDER
1970,0.000404858,0.693278795,0.197704673,0.048803459,0.042208934,1.92E-05,4.30E-01,0.002187615,2.33E-01
1971,0.000404858,0.693278795,0.197704673,0.048803459,0.042208934,1.92E-05,4.30E-01,0.002187615,3.89E-01
1972,0.000547231,0.693278795,0.197704673,0.048803459,0.042208934,1.92E-05,4.30E-01,0.002187615,5.20E-01
1973,0.000547231,0.693278795,0.197704673,0.048803459,0.042208934,1.92E-05,4.30E-01,0.002187615,5.65E-01
1974,0.004154442,0.693278795,0.197704673,0.048803459,0.042208934,1.92E-05,4.30E-01,0.002187615,5.17E-01
1975,0.001659869,0.693278795,0.197704673,0.048803459,0.042208934,1.92E-05,4.30E-01,0.001261097,5.90E-01
1976,0.001586967,0.693278795,0.197704673,0.048803459,0.042208934,1.92E-05,3.60E-01,0.000901961,2.11E-01
1977,0.006300334,0.693278795,0.197704673,0.048803459,0.042208934,1.92E-05,4.70E-01,0.001316949,2.69E-01
1978,0.003733967,0.693278795,0.197704673,0.048803459,0.042208934,1.92E-05,5.90E-01,0.003404207,3.39E-01
1979,0.003130683,0.693278795,0.197704673,0.048803459,0.042208934,1.92E-05,4.50E-01,0.003816833,4.11E-01
1980,0.002225649,0.693278795,0.197704673,0.048803459,0.042208934,1.92E-05,5.30E-01,0.004207819,2.73E-01
1981,0.003354645,0.721235188,0.219737457,0.069531713,0.057099079,1.92E-05,5.10E-01,0.003071429,3.06E-01
1982,0.002407466,0.619955027,0.289513129,0.042216909,0.035972606,1.92E-05,4.10E-01,0.002279831,2.62E-01
1983,0.004341166,0.430944638,0.175055036,0.043793356,0.03642531,1.92E-05,5.30E-01,0.005861769,1.86E-01
1984,0.003412222,0.387487552,0.309189881,0.03105666,0.022888136,1.92E-05,3.50E-01,0.005351171,2.76E-01
1985,0.001251225,0.617992404,0.309189881,0.022451625,0.029068333,1.92E-05,4.80E-01,0.003436748,5.23E-01
1986,0.000639603,1.079570678,0.404849148,0.019313904,0.017611591,1.92E-05,4.10E-01,0.001979798,7.19E-01
1987,0.001337394,0.599529807,0.082543593,0.014198407,0.063151564,1.92E-05,5.40E-01,0.002920023,4.86E-01
1988,0.001331476,0.718261018,0.126252037,0.01787582,0.078901837,1.92E-05,6.70E-01,0.002322209,5.38E-01
1989,0.001084325,0.937253413,0.336236743,0.022662138,0.107325461,1.92E-05,4.30E-01,0.003940476,3.51E-01
1990,0.000982835,0.792993371,0.347727636,0.042542371,0.112068873,1.92E-05,6.10E-01,0.001817312,4.87E-01
1991,0.000808511,0.908111396,0.190669111,0.05106496,0.178776407,1.92E-05,6.60E-01,0.00377238,6.57E-01
1992,0.002902326,1.536475179,0.203209855,0.049918282,0.223651841,1.92E-05,8.00E-01,0.007514397,5.08E-01
1993,0.001437411,0.103289208,0.056799829,0.0503369,0.226842798,2.35E-05,1.30E+00,0.01473301,7.83E-01
1994,0.001641892,0.036674987,0.004555095,0.029562512,0.200660505,5.50E-05,1.96E+00,0.008451928,1.18E-01
1995,0.001589036,0.016735751,0.004888889,0.051153846,0.109267462,2.08E-05,1.00E-01,0.005891217,3.00E-03
1996,0.00287117,0.047164948,0.007662835,0.123223602,0.051282051,6.82E-05,5.00E-02,0.00673901,6.00E-03
1997,0.003044155,0.094143167,0.004551971,0.046073814,0.047010638,6.82E-05,6.00E-02,0.003271215,1.20E-02
1998,0.004837409,0.029375,0.005970696,0.018088292,0.018491379,7.75E-05,4.10E-01,0.011237745,6.30E-02
1999,0.005712595,0.036325301,0.003534884,0.026537549,0.028330935,8.38E-05,2.30E-01,0.003691846,8.40E-02
2000,0.004626471,0.060149254,0.003196347,0.010321814,0.019018634,3.22E-05,5.60E-01,0.004003492,1.22E-01
2001,0.002997519,0.030392157,0.005194175,0.017193059,0.023285714,0.000234664,5.00E-01,0.003598803,1.47E-01
2002,0.001724336,0.057415254,0.004789916,0.02260221,0.016123762,0.000288934,4.90E-01,0.009757604,1.07E-01
2003,0.001724336,0.057415254,0.001363636,0.010893281,0.013630137,0.000288934,6.00E-01,0.009757604,1.33E-01
2004,0.001724336,0.057415254,0.001323529,0.020460581,0.011660944,0.000288934,3.00E-02,5.67E-05,1.26E-01
2005,0.001724336,0.057415254,0.000703125,0.0387897,0.010569106,0.000288934,2.20E-01,0.000686424,1.30E-01
2006,0.001724336,0.057415254,0.002,0.045888502,0.01172549,0.000288934,2.70E-01,0.000273973,8.00E-03
2007,0.001724336,0.057415254,0.001181102,0.022835938,0.009385496,0.000288934,3.50E-01,0.000218531,3.80E-02
2008,0.001724336,0.057415254,0.000263852,0.015556561,0.006558052,0.000288934,4.00E-01,0.00042622,1.26E-01
2009,0.001724336,0.057415254,0.000209974,0.039846154,0.006558052,0.000288934,6.20E-01,0.00042622,1.26E-01
2010,0.001724336,0.057415254,0.000374707,0.039178571,0.006558052,0.000288934,4.40E-01,0.00042622,1.26E-01
2011,0.001724336,0.057415254,0.000374707,0.025599109,0.006558052,0.000288934,4.30E-01,0.00042622,1.26E-01
2012,0.001724336,0.057415254,0.000374707,0.003787815,0.006558052,0.000288934,1.60E-01,0.00042622,1.26E-01
2013,0.001724336,0.057415254,0.000374707,0.003787815,0.006558052,0.000288934,1.10E-01,0.00042622,1.26E-01
2014,0.001724336,0.057415254,0.000374707,0.003787815,0.006558052,0.000288934,8.00E-02,0.00042622,1.26E-01
2015,0.001724336,0.057415254,0.000374707,0.003787815,0.006558052,0.000288934,9.00E-02,0.00042622,1.26E-01
2016,0.001724336,0.057415254,0.000374707,0.003787815,0.006558052,0.000288934,9.00E-02,0.00042622,1.26E-01
2017,0.001724336,0.057415254,0.000374707,0.003787815,0.006558052,0.000288934,9.00E-02,0.00042622,1.26E-01
