"","year","zooconc"
"1",1970,945566791980.351
"2",1971,1020932707646.57
"3",1972,959485179662.62
"4",1973,940698604817.569
"5",1974,954017535603.254
"6",1975,981531096426.866
"7",1976,940951733965.447
"8",1977,997249862297.889
"9",1978,964632291783.637
"10",1979,1061132470072.04
"11",1980,932142115308.843
"12",1981,1003967229332.48
"13",1982,1004183794971.21
"14",1983,1012382117114.31
"15",1984,938274059276.236
"16",1985,985350192530.892
"17",1986,981251058970.729
"18",1987,1031585317176.96
"19",1988,984680716260.851
"20",1989,968259545366.753
"21",1990,990784109290.561
"22",1991,1120989832214.02
"23",1992,1002629973360.41
"24",1993,1033828894611.72
"25",1994,995904797505.141
"26",1995,1005394970403.31
"27",1996,1066919535895.13
"28",1997,975087035637.863
"29",1998,979231242303.57
"30",1999,998128242642.584
"31",2000,964961123333.481
"32",2001,1071368399129.73
"33",2002,1011895283138.02
"34",2003,996448011129.557
"35",2004,994820324320.095
"36",2005,1017571287510.67
"37",2006,992092540721.168
"38",2007,900515379157.841
"39",2008,935160807680.55
"40",2009,1009927347493.59
"41",2010,931811936920.583
"42",2011,956584427053.623
"43",2012,967501903124.919
"44",2013,935140731645.091
"45",2014,941670652018.186
"46",2015,949375463997.233
"47",2016,975546637906.693
"48",2017,985962840142.134
"49",2018,1021717671041.77
"50",2019,948530769791.635
"51",2020,994870924330.395
"52",2021,901489730693.937
"53",2022,932379487302.993
"54",2023,1002941394440.06
"55",2024,973393971542.27
"56",2025,1018829445892.52
"57",2026,935559908006.898
"58",2027,1006644156819.3
"59",2028,965928744549.615
"60",2029,913830141106.324
"61",2030,906283046720.807
"62",2031,939445930243.807
"63",2032,930801483470.389
"64",2033,940927654664.505
"65",2034,1010507798452.94
"66",2035,942655597162.703
"67",2036,907261951672.753
"68",2037,1013660160829.87
"69",2038,1019234486278.5
"70",2039,942433933882.099
"71",2040,918115574639.289
"72",2041,941258113858.681
"73",2042,963686637551.243
"74",2043,1020302735835.9
"75",2044,888790244168.819
"76",2045,934896151434.312
"77",2046,956511878258.533
"78",2047,925000152923.587
"79",2048,919196197507.469
"80",2049,941825742341.688
"81",2050,928329700039.126
"82",2051,887047922874.34
"83",2052,917176775602.626
"84",2053,955519222490.222
"85",2054,958926636675.95
"86",2055,908539391376.799
"87",2056,931979927201.486
"88",2057,899418056740.125
"89",2058,867698474583.258
"90",2059,913828855369.913
"91",2060,918894681186.648
"92",2061,922036069326.069
"93",2062,917398636477.355
"94",2063,887262248764.497
"95",2064,952260937194.284
"96",2065,973004861742.137
"97",2066,834744295062.631
"98",2067,874230246912.416
"99",2068,798481871922.975
"100",2069,897793246642.459
"101",2070,915665277894.387
"102",2071,910545568396.07
"103",2072,795712268997.044
"104",2073,881236874746.842
"105",2074,827158507561.756
"106",2075,879582337517.268
"107",2076,926934614543.485
"108",2077,922117100535.291
"109",2078,889491810452.655
"110",2079,927855864100.956
"111",2080,852802314136.658
"112",2081,720133336525.943
"113",2082,884863045724.798
"114",2083,863514057726.159
"115",2084,720078411264.28
"116",2085,847295374809.037
"117",2086,874261389535.373
"118",2087,852360521863.043
"119",2088,908734003351.869
"120",2089,908020187529.466
"121",2090,860778793545.903
"122",2091,902797628391.953
"123",2092,841170837388.099
"124",2093,885420610266.253
"125",2094,853393859252.976
"126",2095,764859659037.943
"127",2096,849378410425.015
"128",2097,854617246122.015
"129",2098,889370204105.025
"130",2099,773448129153.801
"131",2100,840802526334.681
